tail_number,checkTypeCode,scheduleStart,airport,status,scheduleEnd
CSTOA,T1,03/09/2009 06:30,LIS,S,03/09/2009 09:30
CSTOL,A,03/09/2009 07:00,LIS,S,04/09/2009 13:00
CSTOO,T1+ET,03/09/2009 07:30,OPO,S,03/09/2009 08:45
CSTOE,T2+ET,03/09/2009 07:45,LIS,S,03/09/2009 09:45
CSTOI,T1+ET,03/09/2009 08:00,OPO,S,03/09/2009 10:00
CSTOB,VT,03/09/2009 08:00,LIS,S,03/09/2009 19:00
CSTOE,PURGAS,03/09/2009 09:50,LIS,S,03/09/2009 10:30
CSTOM,ETOPS,03/09/2009 10:00,LIS,S,03/09/2009 12:00
CSTOP,T2+ET,03/09/2009 10:30,LIS,S,03/09/2009 13:30
CSTKM,36+ET,03/09/2009 10:45,LIS,S,03/09/2009 12:45
CSTOH,PURGAS,03/09/2009 11:15,LIS,S,03/09/2009 12:45
CSTGV,36+ET,03/09/2009 11:30,LIS,S,03/09/2009 13:30
CSTOH,T1+ET,03/09/2009 12:50,LIS,S,03/09/2009 14:50
CSTNE,T1,03/09/2009 13:30,LIS,S,03/09/2009 15:00
FRAJB,T1,03/09/2009 14:00,CAY,S,03/09/2009 16:00
CSTOC,T1,03/09/2009 14:55,LIS,S,03/09/2009 16:30
CSTNI,VT,03/09/2009 15:30,LIS,S,03/09/2009 16:00
CSTTF,VT,03/09/2009 15:45,LIS,S,03/09/2009 16:30
CSTJF,T2,03/09/2009 16:00,LIS,S,03/09/2009 19:00
CSTNE,VT,03/09/2009 16:00,LIS,S,03/09/2009 23:00
CSTNJ,T2,03/09/2009 16:10,LIS,S,03/09/2009 17:30
CSTNH,VT,03/09/2009 16:15,LIS,S,03/09/2009 17:25
CSTNP,T1,03/09/2009 17:00,LIS,S,03/09/2009 18:45
CSTNK,VT,03/09/2009 18:05,LIS,S,03/09/2009 18:45
CSTTN,VT,03/09/2009 18:20,LIS,S,03/09/2009 19:00
CSTDI,T1+ET,03/09/2009 19:00,LIS,S,03/09/2009 21:00
CSTTQ,T2,03/09/2009 19:00,LIS,S,04/09/2009 04:00
FRAJA,C,03/09/2009 19:00,LIS,S,04/09/2009 07:30
CSTOK,MESLOT,03/09/2009 19:00,LIS,S,04/09/2009 08:00
CSTOB,T1,03/09/2009 19:15,LIS,S,03/09/2009 21:05
CSTJE,T1,03/09/2009 20:00,LIS,S,03/09/2009 21:05
CSTTM,VT,03/09/2009 20:05,LIS,S,03/09/2009 20:40
CSTNN,T1,03/09/2009 20:05,LIS,S,03/09/2009 21:05
CSTNI,T1,03/09/2009 20:15,LIS,S,03/09/2009 21:05
CSTTO,T1,03/09/2009 20:25,LIS,S,03/09/2009 21:15
CSTTP,RIB_5,03/09/2009 20:45,LIS,S,03/09/2009 21:45
CSTNL,T1,03/09/2009 20:45,LIS,S,04/09/2009 04:00
CSTQK,T1,03/09/2009 23:00,LIS,S,04/09/2009 00:30
CSTTK,T1,03/09/2009 23:00,LIS,S,04/09/2009 05:00
CSTTP,T1,03/09/2009 23:00,LIS,S,04/09/2009 05:30
CSTQD,T1,03/09/2009 23:30,LIS,S,04/09/2009 05:00
CSTNJ,T1,03/09/2009 23:45,HAM,S,04/09/2009 01:15
CSTTA,T1,03/09/2009 23:45,ORY,S,04/09/2009 01:15
CSTTB,T1,03/09/2009 23:45,GVA,S,04/09/2009 01:15
CSTTC,T1,03/09/2009 23:45,MAD,S,04/09/2009 01:15
CSTTD,T1,03/09/2009 23:45,OPO,S,04/09/2009 01:15
CSTTE,T1,03/09/2009 23:45,CPH,S,04/09/2009 01:15
CSTTF,T1,03/09/2009 23:45,CDG,S,04/09/2009 01:15
CSTTG,T1,03/09/2009 23:45,FAO,S,04/09/2009 01:15
CSTTH,T1,03/09/2009 23:45,FRA,S,04/09/2009 01:15
CSTTI,T1,03/09/2009 23:45,BRU,S,04/09/2009 01:15
CSTTN,T1,03/09/2009 23:45,BCN,S,04/09/2009 01:15
CSTTR,T1,03/09/2009 23:45,FNC,S,04/09/2009 01:15
CSTTS,T1,03/09/2009 23:45,MUC,S,04/09/2009 01:15
CSTNB,T1,03/09/2009 23:45,ZRH,S,04/09/2009 01:15
CSTNM,T1,03/09/2009 23:45,LIN,S,04/09/2009 01:15
CSTNK,T1,03/09/2009 23:45,AMS,S,04/09/2009 01:15
CSTNG,T1,03/09/2009 23:45,OPO,S,04/09/2009 01:15
CSTNH,T1,03/09/2009 23:45,ORY,S,04/09/2009 01:15
CSTNR,T1,03/09/2009 23:45,FCO,S,04/09/2009 01:15
CSTNA,T1,03/09/2009 23:45,LHR,S,04/09/2009 01:15
CSTTM,T2,03/09/2009 23:45,FNC,S,04/09/2009 04:00
CSTNQ,T2,03/09/2009 23:45,LHR,S,04/09/2009 04:00
CSTTJ,T1,03/09/2009 23:59,LIS,S,04/09/2009 04:00
CSTTL,T1,03/09/2009 23:59,LIS,S,04/09/2009 04:00
CSTJG,T2,03/09/2009 23:59,FNC,S,04/09/2009 04:00
CSTKL,W,04/09/2009 00:15,LIS,S,04/09/2009 04:00
CSTEJ,PURGAS,04/09/2009 02:00,LIS,S,04/09/2009 03:00
CSTGU,36,04/09/2009 02:00,LIS,S,04/09/2009 04:00
CSTKI,T2+ET,04/09/2009 02:00,LIS,S,04/09/2009 04:00
CSTEJ,T1+ET,04/09/2009 03:30,LIS,S,04/09/2009 04:30
CSTKI,PURGAS,04/09/2009 05:00,LIS,S,04/09/2009 06:15
CSTOF,T2+ET,04/09/2009 05:00,LIS,S,04/09/2009 14:00
CSTOI,T2+ET,04/09/2009 05:30,LIS,S,04/09/2009 07:45
CSTOJ,T1+ET,04/09/2009 05:45,LIS,S,04/09/2009 07:30
CSTNI,VT,04/09/2009 06:00,LIS,S,04/09/2009 06:50
CSTOG,T1+ET,04/09/2009 06:00,LIS,S,04/09/2009 08:00
CSTOM,T1+ET,04/09/2009 06:15,LIS,S,04/09/2009 08:15
CSTOA,T1,04/09/2009 06:15,LIS,S,04/09/2009 08:15
CSTOD,T1,04/09/2009 06:15,LIS,S,04/09/2009 08:15
CSTON,T1+ET,04/09/2009 07:15,LIS,S,04/09/2009 09:30
CSTOE,T1+ET,04/09/2009 07:30,OPO,S,04/09/2009 09:30
CSTOI,PURGAS,04/09/2009 07:50,LIS,S,04/09/2009 08:50
CSTTF,VT,04/09/2009 08:00,LIS,S,04/09/2009 08:40
CSTTO,VT,04/09/2009 08:05,LIS,S,04/09/2009 08:45
CSTOO,T1+ET,04/09/2009 08:10,OPO,S,04/09/2009 10:00
CSTKN,W+ET,04/09/2009 08:15,TER,S,04/09/2009 09:15
CSTOK,PURGAS,04/09/2009 08:30,LIS,S,04/09/2009 10:30
CSTOH,T1,04/09/2009 10:30,LIS,S,04/09/2009 12:30
CSTKM,36+ET,04/09/2009 11:00,LIS,S,04/09/2009 13:00
CSTOK,T2+ET,04/09/2009 11:00,LIS,S,04/09/2009 13:50
CSTKJ,W,04/09/2009 11:15,LIS,S,04/09/2009 14:15
CSTKK,W,04/09/2009 11:15,PDL,S,04/09/2009 16:30
CSTOP,T1+ET,04/09/2009 12:00,LIS,S,04/09/2009 13:30
CSTGU,ETOPS,04/09/2009 13:00,LIS,S,04/09/2009 14:00
CSTNI,VT,04/09/2009 13:10,LIS,S,04/09/2009 13:45
CSTOL,ETOPS,04/09/2009 13:15,LIS,S,04/09/2009 14:15
CSTDI,T1+ET,04/09/2009 14:15,LIS,S,04/09/2009 16:15
CSTOB,T1,04/09/2009 15:00,LIS,S,04/09/2009 17:00
CSTNJ,VT,04/09/2009 15:55,LIS,S,04/09/2009 17:50
CSTNB,VT,04/09/2009 16:00,LIS,S,04/09/2009 17:30
CSTTL,T1,04/09/2009 16:50,LIS,S,04/09/2009 18:00
CSTNP,VT,04/09/2009 17:30,LIS,S,04/09/2009 17:55
CSTKN,W+ET,04/09/2009 18:00,TER,S,04/09/2009 19:00
FRAJB,T1,04/09/2009 18:00,CAY,S,04/09/2009 22:00
CSTJF,T1,04/09/2009 20:00,LIS,S,04/09/2009 21:35
CSTNG,T1,04/09/2009 20:05,LIS,S,04/09/2009 20:55
CSTTD,T1,04/09/2009 20:05,LIS,S,04/09/2009 21:15
CSTQD,T1,04/09/2009 20:10,LIS,S,04/09/2009 21:05
