Voo,Origem,Destino,Tipo_Aviao,Partida,Chegada,Lugares_Executiva,Lugares_Economica,Lugares_Exec_Vendidos,Lugares_Econ_Vendidos
356,LIS,LHR,321,9/1/2009 13:35,9/1/2009 16:25,14,178,23,162
926,LIS,ZRH,319,9/1/2009 13:40,9/1/2009 16:30,15,113,3,95
804,LIS,MXP,320,9/1/2009 13:50,9/1/2009 16:30,14,143,4,139
1970,LIS,OPO,320,9/1/2009 13:50,9/1/2009 14:45,14,143,7,114
165,LIS,FOR,332,9/1/2009 14:00,9/1/2009 21:30,24,244,10,174
614,LIS,BRU,319,9/1/2009 14:00,9/1/2009 16:45,15,113,8,112
175,LIS,GIG,332,9/1/2009 14:05,9/2/2009 0:20,24,239,10,144
1633,LIS,FNC,320,9/1/2009 14:15,9/1/2009 16:05,0,162,0,155
440,LIS,ORY,320,9/1/2009 14:20,9/1/2009 16:50,14,143,14,143
484,LIS,NCE,319,9/1/2009 14:20,9/1/2009 16:45,15,113,0,92
944,LIS,GVA,319,9/1/2009 14:20,9/1/2009 16:50,15,113,6,108
145,LIS,NAT,332,9/1/2009 14:45,9/1/2009 22:15,24,244,5,110
1913,LIS,FAO,319,9/1/2009 14:50,9/1/2009 15:35,15,113,0,62
153,LIS,REC,332,9/1/2009 15:00,9/1/2009 22:50,24,239,0,116
718,LIS,MAD,319,9/1/2009 15:00,9/1/2009 16:15,15,113,9,113
386,OPO,LHR,320,9/1/2009 15:05,9/1/2009 17:30,14,143,14,142
349,LGW,FNC,320,9/1/2009 15:20,9/1/2009 19:15,14,143,11,109
439,ORY,LIS,320,9/1/2009 15:25,9/1/2009 17:50,14,143,5,58
1626,FNC,LIS,319,9/1/2009 15:25,9/1/2009 17:00,0,132,0,122
1972,LIS,OPO,319,9/1/2009 15:30,9/1/2009 16:25,15,113,11,58
468,OPO,ORY,319,9/1/2009 15:40,9/1/2009 17:50,15,113,15,113
580,LIS,WAW,320,9/1/2009 15:50,9/1/2009 19:45,14,143,0,125
1580,FNC,OPO,319,9/1/2009 15:50,9/1/2009 17:45,15,113,0,110
1825,LIS,TER,320,9/1/2009 15:50,9/1/2009 18:30,14,143,6,97
1975,OPO,LIS,320,9/1/2009 15:55,9/1/2009 16:50,14,143,0,65
752,LIS,BCN,320,9/1/2009 16:05,9/1/2009 17:55,14,143,5,128
1639,LIS,FNC,319,9/1/2009 16:05,9/1/2009 17:55,15,113,14,112
1912,FAO,LIS,319,9/1/2009 16:15,9/1/2009 17:00,15,113,11,113
428,LIS,CDG,319,9/1/2009 16:45,9/1/2009 19:20,15,113,15,112
1632,FNC,LIS,320,9/1/2009 16:45,9/1/2009 18:20,14,143,7,143
283,LIS,JNB,343,9/1/2009 16:50,9/2/2009 3:20,36,232,7,32
661,AMS,LIS,321,9/1/2009 17:00,9/1/2009 20:00,14,178,1,89
719,MAD,LIS,319,9/1/2009 17:00,9/1/2009 18:15,15,113,3,69
843,FCO,LIS,319,9/1/2009 17:00,9/1/2009 20:00,15,113,1,113
1977,OPO,LIS,319,9/1/2009 17:05,9/1/2009 18:00,15,113,6,109
805,MXP,LIS,320,9/1/2009 17:15,9/1/2009 20:00,14,143,1,43
1827,LIS,TER,320,9/1/2009 17:15,9/1/2009 19:55,14,143,0,105
615,BRU,LIS,319,9/1/2009 17:30,9/1/2009 20:10,15,113,4,71
358,LIS,LHR,320,9/1/2009 17:35,9/1/2009 20:25,14,143,9,136
445,ORY,LIS,320,9/1/2009 17:35,9/1/2009 20:00,14,143,2,70
448,LIS,ORY,320,9/1/2009 17:45,9/1/2009 20:15,0,162,0,162
566,LIS,HAM,319,9/1/2009 17:45,9/1/2009 21:00,15,113,0,61
836,LIS,FCO,320,9/1/2009 17:55,9/1/2009 20:50,14,143,14,143
928,LIS,ZRH,319,9/1/2009 18:00,9/1/2009 20:50,15,113,0,63
552,LIS,MUC,319,9/1/2009 18:05,9/1/2009 21:15,15,113,0,110
578,LIS,FRA,320,9/1/2009 18:10,9/1/2009 21:15,14,143,2,111
662,LIS,AMS,320,9/1/2009 18:20,9/1/2009 21:15,14,143,0,95
458,OPO,ORY,319,9/1/2009 18:30,9/1/2009 20:40,15,113,15,110
455,ORY,OPO,319,9/1/2009 18:35,9/1/2009 20:40,15,113,1,36
1664,FNC,LIS,319,9/1/2009 18:35,9/1/2009 20:10,15,113,11,113
741,BCN,LIS,320,9/1/2009 18:40,9/1/2009 20:40,14,143,2,94
618,LIS,BRU,319,9/1/2009 18:45,9/1/2009 21:30,15,113,5,108
826,LIS,LIN,320,9/1/2009 18:50,9/1/2009 21:30,14,143,1,124
942,LIS,GVA,319,9/1/2009 18:50,9/1/2009 21:15,15,113,1,88
362,LIS,LHR,320,9/1/2009 18:55,9/1/2009 21:45,14,143,7,139
724,LIS,MAD,319,9/1/2009 19:05,9/1/2009 20:20,15,113,0,59
740,LIS,BCN,319,9/1/2009 19:05,9/1/2009 20:55,15,113,0,87
1826,TER,LIS,320,9/1/2009 19:20,9/1/2009 21:35,14,143,2,125
1684,FNC,LIS,320,9/1/2009 20:00,9/1/2009 21:35,14,143,11,143
172,BSB,LIS,332,9/1/2009 20:05,9/2/2009 5:20,24,239,11,218
196,GRU,LIS,332,9/1/2009 20:10,9/2/2009 5:55,24,244,13,239
180,GIG,LIS,332,9/1/2009 20:20,9/2/2009 5:50,24,239,17,213
156,SSA,LIS,332,9/1/2009 20:25,9/2/2009 4:40,24,239,16,208
1685,LIS,FNC,319,9/1/2009 20:45,9/1/2009 22:35,15,113,0,112
1828,TER,LIS,320,9/1/2009 20:45,9/1/2009 22:59,14,143,1,59
1982,LIS,OPO,319,9/1/2009 20:45,9/1/2009 21:40,15,113,4,86
130,CCS,LIS,332,9/1/2009 20:50,9/2/2009 5:05,24,244,11,206
209,LIS,DKR,321,9/1/2009 21:00,9/2/2009 1:10,14,178,0,86
215,LIS,RAI,320,9/1/2009 21:10,9/2/2009 1:20,14,143,5,101
217,LIS,SID,320,9/1/2009 21:10,9/2/2009 1:15,14,178,0,57
257,LIS,LAD,343,9/1/2009 21:10,9/2/2009 4:50,36,232,35,226
1581,OPO,FNC,319,9/1/2009 21:25,9/1/2009 23:25,0,132,0,117
1917,LIS,FAO,319,9/1/2009 21:25,9/1/2009 22:10,15,113,2,61
192,GRU,OPO,332,9/1/2009 21:35,9/2/2009 7:45,24,239,18,195
1693,LIS,FNC,321,9/1/2009 21:35,9/1/2009 23:25,14,178,6,136
104,EWR,LIS,343,9/1/2009 22:00,9/2/2009 5:15,36,232,8,122
164,FOR,LIS,332,9/1/2009 23:00,9/2/2009 6:00,24,244,17,190
146,NAT,LIS,332,9/1/2009 23:45,9/2/2009 7:00,24,244,9,160
176,GIG,LIS,332,9/2/2009 1:50,9/2/2009 11:25,24,239,19,215
210,DKR,LIS,321,9/2/2009 2:10,9/2/2009 6:05,14,178,10,170
152,REC,LIS,332,9/2/2009 2:50,9/2/2009 10:20,24,239,6,179
835,FCO,LIS,320,9/2/2009 4:20,9/2/2009 7:20,14,143,4,97
611,BRU,LIS,319,9/2/2009 4:25,9/2/2009 7:05,15,113,0,77
667,AMS,LIS,320,9/2/2009 4:25,9/2/2009 7:25,14,143,0,82
751,BCN,LIS,319,9/2/2009 4:35,9/2/2009 6:35,15,113,0,78
829,LIN,LIS,320,9/2/2009 4:35,9/2/2009 7:25,14,143,1,84
283,JNB,MPM,343,9/2/2009 4:50,9/2/2009 6:05,36,232,3,0
429,CDG,LIS,319,9/2/2009 4:55,9/2/2009 7:25,15,113,3,29
459,ORY,OPO,319,9/2/2009 5:00,9/2/2009 7:05,15,113,1,28
1602,FNC,LIS,319,9/2/2009 5:00,9/2/2009 6:35,15,113,10,113
1951,OPO,LIS,320,9/2/2009 5:05,9/2/2009 6:00,14,143,10,138
1948,LIS,OPO,319,9/2/2009 5:10,9/2/2009 6:05,15,113,0,7
1900,FAO,LIS,319,9/2/2009 5:15,9/2/2009 6:00,15,113,3,79
441,ORY,LIS,320,9/2/2009 5:20,9/2/2009 7:45,14,143,2,108
464,OPO,ORY,319,9/2/2009 6:05,9/2/2009 8:10,15,113,15,110
711,MAD,LIS,319,9/2/2009 6:05,9/2/2009 7:20,15,113,4,56
748,LIS,BCN,319,9/2/2009 6:05,9/2/2009 7:55,15,113,0,75
1572,FNC,OPO,319,9/2/2009 6:05,9/2/2009 8:00,15,113,3,103
604,LIS,BRU,319,9/2/2009 6:15,9/2/2009 9:00,15,113,0,86
834,LIS,FCO,320,9/2/2009 6:15,9/2/2009 9:10,14,143,4,136
424,LIS,CDG,320,9/2/2009 6:20,9/2/2009 8:55,14,143,13,141
1604,FNC,LIS,321,9/2/2009 6:40,9/2/2009 8:15,0,200,0,197
354,LIS,LHR,321,9/2/2009 6:45,9/2/2009 9:35,14,178,11,143
1953,OPO,LIS,319,9/2/2009 6:45,9/2/2009 7:40,15,113,14,113
432,LIS,ORY,321,9/2/2009 6:55,9/2/2009 9:25,14,178,14,175
668,LIS,AMS,320,9/2/2009 6:55,9/2/2009 9:45,14,143,2,87
806,LIS,MXP,320,9/2/2009 6:55,9/2/2009 9:35,14,143,6,122
920,LIS,ZRH,319,9/2/2009 6:55,9/2/2009 9:40,15,113,2,51
1821,LIS,TER,332,9/2/2009 7:00,9/2/2009 9:40,24,239,3,86
1861,LIS,PDL,320,9/2/2009 7:00,9/2/2009 9:30,14,143,3,116
856,LIS,BLQ,319,9/2/2009 7:05,9/2/2009 9:50,15,113,2,94
864,LIS,ZAG,320,9/2/2009 7:10,9/2/2009 10:10,14,143,2,128
1952,LIS,OPO,320,9/2/2009 7:10,9/2/2009 8:05,14,143,11,79
1609,LIS,FNC,319,9/2/2009 7:20,9/2/2009 9:10,15,113,2,95
283,MPM,LIS,343,9/2/2009 7:30,9/2/2009 18:40,36,232,11,167
570,LIS,FRA,319,9/2/2009 7:35,9/2/2009 10:40,15,113,6,112
