Voo,Origem,Destino,Configuracao,Partida,Chegada,Lugares_Executiva,Lugares_Economica,Lugares_Exec_Vendidos,Lugares_Econ_Vendidos
428,LIS,CDG,128,9/2/2009 16:45,9/2/2009 19:20,15,113,14,110
1632,FNC,LIS,132,9/2/2009 16:45,9/2/2009 18:20,0,132,0,132
719,MAD,LIS,128,9/2/2009 17:00,9/2/2009 18:15,15,113,6,59
843,FCO,LIS,128,9/2/2009 17:00,9/2/2009 20:00,15,113,1,66
615,BRU,LIS,128,9/2/2009 17:30,9/2/2009 20:10,15,113,1,64
458,OPO,ORY,128,9/2/2009 18:30,9/2/2009 20:40,15,113,15,113
455,ORY,OPO,128,9/2/2009 18:35,9/2/2009 20:40,15,113,0,58
721,MAD,LIS,128,9/2/2009 18:40,9/2/2009 19:55,15,113,3,34
741,BCN,LIS,128,9/2/2009 18:40,9/2/2009 20:40,15,113,2,90
618,LIS,BRU,128,9/2/2009 18:45,9/2/2009 21:30,15,113,0,74
724,LIS,MAD,128,9/2/2009 19:05,9/2/2009 20:20,15,113,2,43
740,LIS,BCN,157,9/2/2009 19:05,9/2/2009 20:55,14,143,4,79
1684,FNC,LIS,128,9/2/2009 20:00,9/2/2009 21:35,15,113,2,113
1685,LIS,FNC,128,9/2/2009 20:45,9/2/2009 22:35,15,113,0,76
1982,LIS,OPO,128,9/2/2009 20:45,9/2/2009 21:40,15,113,5,67
205,LIS,OXB,128,9/2/2009 21:00,9/3/2009 1:10,15,113,4,74
1581,OPO,FNC,128,9/2/2009 21:25,9/2/2009 23:25,15,113,5,113
1917,LIS,FAO,128,9/2/2009 21:25,9/2/2009 22:10,15,113,1,55
1693,LIS,FNC,128,9/2/2009 21:35,9/2/2009 23:25,15,113,0,67
200,OXB,LIS,128,9/3/2009 2:05,9/3/2009 6:05,15,113,2,89
611,BRU,LIS,128,9/3/2009 4:25,9/3/2009 7:05,15,113,0,83
751,BCN,LIS,157,9/3/2009 4:35,9/3/2009 6:35,14,143,2,73
429,CDG,LIS,128,9/3/2009 4:55,9/3/2009 7:25,15,113,2,33
459,ORY,OPO,128,9/3/2009 5:00,9/3/2009 7:05,15,113,1,42
1602,FNC,LIS,132,9/3/2009 5:00,9/3/2009 6:35,0,132,0,126
1948,LIS,OPO,128,9/3/2009 5:10,9/3/2009 6:05,15,113,1,1
1900,FAO,LIS,128,9/3/2009 5:15,9/3/2009 6:00,15,113,0,88
464,OPO,ORY,128,9/3/2009 6:05,9/3/2009 8:10,15,113,14,110
711,MAD,LIS,128,9/3/2009 6:05,9/3/2009 7:20,15,113,0,61
1572,FNC,OPO,128,9/3/2009 6:05,9/3/2009 8:00,15,113,3,102
604,LIS,BRU,128,9/3/2009 6:15,9/3/2009 9:00,15,113,3,88
1604,FNC,LIS,128,9/3/2009 6:40,9/3/2009 8:15,15,113,9,113
1953,OPO,LIS,128,9/3/2009 6:45,9/3/2009 7:40,15,113,7,100
668,LIS,AMS,128,9/3/2009 6:55,9/3/2009 9:45,15,113,3,69
1609,LIS,FNC,132,9/3/2009 7:25,9/3/2009 9:10,0,132,0,107
1573,OPO,FNC,128,9/3/2009 7:50,9/3/2009 9:50,15,113,3,100
500,LIS,ARN,128,9/3/2009 8:05,9/3/2009 12:25,15,113,2,25
746,LIS,BCN,128,9/3/2009 8:05,9/3/2009 9:55,15,113,2,103
712,LIS,MAD,128,9/3/2009 8:10,9/3/2009 9:20,15,113,6,85
1615,LIS,FNC,128,9/3/2009 8:15,9/3/2009 10:05,15,113,4,98
872,LIS,VCE,128,9/3/2009 8:30,9/3/2009 11:30,15,113,3,105
434,LIS,ORY,162,9/3/2009 8:40,9/3/2009 11:05,0,162,0,121
451,ORY,OPO,128,9/3/2009 8:55,9/3/2009 11:00,15,113,0,51
608,LIS,BRU,128,9/3/2009 9:00,9/3/2009 11:45,15,113,0,93
665,AMS,LIS,128,9/3/2009 10:30,9/3/2009 13:35,15,113,2,88
1574,FNC,OPO,128,9/3/2009 10:30,9/3/2009 12:25,15,113,3,112
1614,FNC,LIS,128,9/3/2009 10:30,9/3/2009 12:00,15,113,15,113
745,BCN,LIS,128,9/3/2009 10:40,9/3/2009 12:40,15,113,9,93
348,FNC,LGW,128,9/3/2009 10:45,9/3/2009 14:30,15,113,8,106
714,LIS,MAD,128,9/3/2009 10:50,9/3/2009 12:05,15,113,0,68
713,MAD,LIS,128,9/3/2009 11:00,9/3/2009 12:15,15,113,4,81
1963,OPO,LIS,128,9/3/2009 11:40,9/3/2009 12:35,15,113,15,108
873,VCE,LIS,128,9/3/2009 12:15,9/3/2009 15:25,15,113,4,65
609,BRU,LIS,128,9/3/2009 12:30,9/3/2009 15:20,15,113,3,60
438,LIS,ORY,128,9/3/2009 12:45,9/3/2009 15:10,15,113,7,101
715,MAD,LIS,128,9/3/2009 12:50,9/3/2009 14:05,15,113,1,50
1627,LIS,FNC,128,9/3/2009 13:00,9/3/2009 14:45,15,113,5,108
501,ARN,LIS,128,9/3/2009 13:10,9/3/2009 17:35,15,113,2,89
1577,OPO,FNC,128,9/3/2009 13:10,9/3/2009 15:10,15,113,15,113
660,LIS,AMS,128,9/3/2009 13:20,9/3/2009 16:15,15,113,1,80
842,LIS,FCO,128,9/3/2009 13:20,9/3/2009 16:15,15,113,15,113
614,LIS,BRU,128,9/3/2009 14:00,9/3/2009 16:45,15,113,0,77
1633,LIS,FNC,128,9/3/2009 14:15,9/3/2009 16:05,15,113,0,97
1913,LIS,FAO,157,9/3/2009 14:50,9/3/2009 15:35,14,143,0,70
718,LIS,MAD,128,9/3/2009 15:00,9/3/2009 16:15,15,113,2,89
349,LGW,FNC,128,9/3/2009 15:20,9/3/2009 19:15,15,113,5,95
