origin,destination,distance_in_nautical_miles,distance_in_km
VCE,LIS,1033.65,1914.32
VCE,LJU,99.13,183.59
VCP,CGH,45.71,84.66
VCP,LIS,4285.5,7936.75
VGO,OPO,59.21,109.66
VIE,KBP,577.06,1068.72
VIE,LIS,1245.85,2308.85
VLC,LIS,405.76,751.47
VLC,OPO,389.89,722.08
VRA,LIS,3744.52,6934.85
VXE,LIS,1561.49,2891.88
WAW,LIS,1480.38,2741.66
ZAG,BLQ,214.62,397.48
ZAG,LIS,1188.63,2201.34
ZRH,FAO,961.22,1780.19
ZRH,LIS,929.98,1722.32
ZRH,OPO,825.6,1529.01
